Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0,2.0,7.0,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,5.0,,,,,,,8.0,,,0.0,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,7.0,,,,,285.0,10.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,2.0,,3.0,,,,,,,,,,,,,,,32.0,599
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,76.0,31.0,,,,,0.0,,22.0,,52.0,,0.0,,,,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,5.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,17.0,,,,,,52.0,,,,,,,,,,,,,18.0,,,,,,102.0,10.0,,5.0,2.0,,,,59.0,,0.0,,3.0,3.0,,0.0,,4.0,,,,,,,,0.0,49.0,,,,,,3.0,,,,,,4.0,,,,,,,0.0,39.0,,,54.0,2.0,18.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,318.0,,,,,,,,,,,,,,0.0,,,,4.0,,,,7.0,,3.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,11.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,3.0,5.0,1.0,,,,,,,141.0,,,,,,,,,,0.0,1.0,,90.0,,,,,,,0.0,,,1224
,,,3.0,17.0,,35.0,0.0,,11.0,1.0,1.0,0.0,19.0,0.0,66.0,9.0,1.0,0.0,84.0,3.0,,,0.0,0.0,6.0,2.0,39.0,0.0,,27.0,1.0,62.0,1.0,,1.0,,,16.0,,2.0,,,,,0.0,,,2.0,,,,3.0,11.0,57.0,3.0,18.0,,0.0,,,0.0,0.0,20.0,5.0,,,,,20.0,1.0,3.0,,,1.0,2.0,,0.0,0.0,0.0,44.0,,,0.0,,,,,0.0,0.0,,,,,,,0.0,107.0,13.0,129.0,2.0,0.0,1.0,,13.0,2.0,1.0,12.0,,20.0,,,16.0,,,,14.0,3.0,,19.0,1.0,0.0,,7.0,,,41.0,,0.0,,62.0,1.0,0.0,14.0,,,,10.0,79.0,2.0,,0.0,,,,,,391.0,0.0,,,,,,,6.0,,62.0,,10.0,18.0,44.0,0.0,,,16.0,,4.0,1.0,0.0,117.0,0.0,7.0,,,,42.0,55.0,20.0,,34.0,0.0,,,,2.0,,,,1.0,,,4.0,0.0,,,,64.0,0.0,64.0,9.0,6.0,1.0,,6.0,52.0,,0.0,,0.0,,,55.0,39.0,,,,,1.0,,41.0,1.0,,1.0,3.0,2.0,,14.0,0.0,5.0,,,,,0.0,3.0,20.0,13.0,,,30.0,1.0,3.0,2.0,1.0,,7.0,0.0,28.0,22.0,1.0,38.0,31.0,39.0,29.0,,,1.0,85.0,10.0,0.0,2.0,,,0.0,,,21.0,,,0.0,,43.0,4.0,,0.0,10.0,33.0,0.0,,,,,9.0,,1.0,,0.0,44.0,,6.0,,,0.0,1.0,,,34.0,,,21.0,,12.0,131.0,,,0.0,,,0.0,,15.0,1.0,32.0,,64.0,2.0,27.0,13.0,,,,2.0,2.0,,,10.0,,,15.0,13.0,,3.0,,15.0,,,1.0,3.0,10.0,4.0,1.0,,28.0,1.0,,20.0,3.0,0.0,,0.0,,0.0,41.0,21.0,53.0,1.0,,,,,,25.0,,32.0,1.0,,,,1.0,3.0,17.0,,,0.0,1.0,0.0,,14.0,,,9.0,,33.0,3.0,,10.0,0.0,,77.0,3.0,6.0,9.0,,0.0,,0.0,,3745
,,0.0,,0.0,,,0.0,,17.0,2.0,0.0,2.0,167.0,0.0,5.0,221.0,0.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,11.0,2.0,,13.0,1.0,0.0,2.0,,0.0,0.0,,2.0,,,,,,0.0,0.0,,,10.0,,,,8.0,0.0,1.0,0.0,4.0,,2.0,,,1.0,1.0,5.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,1.0,,1.0,4.0,0.0,2.0,,,0.0,,,,,,,,,0.0,,,,4.0,0.0,0.0,2.0,4.0,0.0,0.0,,0.0,2.0,0.0,25.0,,1.0,,,14.0,,,0.0,4.0,353.0,0.0,677.0,1.0,30.0,,8.0,,,0.0,,0.0,,0.0,1.0,0.0,0.0,,,,228.0,3.0,0.0,,0.0,,,,,1.0,2.0,2.0,,0.0,1.0,,,0.0,22.0,,0.0,,0.0,1.0,3.0,2.0,,0.0,18.0,,1.0,1.0,1.0,19.0,3.0,8.0,,,,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,,,1.0,,,0.0,1.0,,1.0,,351.0,2.0,1.0,9.0,0.0,0.0,,4.0,1.0,,0.0,,0.0,,,67.0,2.0,,,0.0,2.0,6.0,,5.0,5.0,,3.0,0.0,0.0,0.0,112.0,0.0,0.0,,1.0,,,0.0,1.0,,0.0,2.0,0.0,0.0,0.0,20.0,2.0,1.0,,7.0,0.0,8.0,0.0,1.0,15.0,73.0,,0.0,,,0.0,4.0,0.0,1.0,0.0,,,5.0,,,0.0,4.0,,0.0,0.0,,1.0,,0.0,,0.0,3.0,,,,,3.0,,1.0,0.0,1.0,7.0,,2.0,,,2.0,3.0,,,6.0,0.0,,0.0,,0.0,10.0,0.0,,0.0,,0.0,0.0,,0.0,1.0,0.0,,15.0,1.0,4.0,0.0,,4.0,,0.0,0.0,,0.0,6.0,,,0.0,0.0,,2.0,,8.0,,,0.0,1.0,14.0,0.0,0.0,,4.0,0.0,,0.0,2.0,,,,,0.0,29.0,3.0,5.0,0.0,,,0.0,,,0.0,2.0,3.0,2.0,,,0.0,40.0,0.0,0.0,,0.0,0.0,9.0,2.0,,0.0,0.0,,6.0,,14.0,2.0,,2.0,5.0,1.0,0.0,,4.0,8.0,,0.0,,0.0,,2886
,,2.0,0.0,,,0.0,0.0,,20.0,4.0,0.0,0.0,45.0,2.0,95.0,45.0,15.0,0.0,7.0,0.0,,,0.0,2.0,0.0,0.0,165.0,1.0,,39.0,7.0,2.0,0.0,,16.0,0.0,,5.0,,18.0,,,,0.0,1.0,,,3.0,,,,16.0,0.0,3.0,5.0,85.0,,0.0,,,,4.0,9.0,1.0,,,0.0,,4.0,,3.0,,,2.0,1.0,,0.0,2.0,0.0,3.0,,,,,,,,2.0,2.0,,,2.0,,,,1.0,3.0,0.0,21.0,1.0,0.0,14.0,,9.0,0.0,0.0,20.0,,18.0,0.0,,131.0,,,0.0,13.0,105.0,0.0,140.0,4.0,1.0,,2.0,,,9.0,,0.0,,20.0,1.0,4.0,13.0,,,0.0,30.0,46.0,0.0,,14.0,,,,,0.0,37.0,2.0,,1.0,2.0,,,0.0,0.0,,3.0,,1.0,4.0,9.0,4.0,,0.0,10.0,,0.0,1.0,0.0,50.0,1.0,3.0,,,1.0,0.0,1.0,1.0,,2.0,,,,,2.0,0.0,,0.0,2.0,,,1.0,1.0,,1.0,,111.0,0.0,12.0,5.0,4.0,2.0,,3.0,17.0,,3.0,,9.0,,,47.0,25.0,,,0.0,1.0,0.0,,80.0,7.0,,7.0,22.0,0.0,,65.0,2.0,2.0,,0.0,,,0.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,1.0,7.0,50.0,67.0,3.0,7.0,,,0.0,61.0,4.0,0.0,9.0,,,0.0,,,12.0,1.0,,0.0,3.0,5.0,0.0,,0.0,0.0,16.0,,0.0,,,,3.0,,0.0,,0.0,5.0,,1.0,,,2.0,3.0,,,58.0,2.0,,2.0,,0.0,79.0,,,0.0,,2.0,3.0,,3.0,0.0,1.0,,117.0,2.0,4.0,5.0,,0.0,,38.0,4.0,,0.0,82.0,,,0.0,0.0,,1.0,,195.0,,0.0,2.0,8.0,45.0,0.0,0.0,,25.0,0.0,,6.0,0.0,0.0,0.0,1.0,,12.0,0.0,19.0,31.0,0.0,,,0.0,,,3.0,1.0,49.0,0.0,,,0.0,1.0,0.0,11.0,,0.0,13.0,4.0,,,16.0,0.0,,5.0,,100.0,4.0,,81.0,0.0,0.0,24.0,0.0,0.0,12.0,,1.0,,1.0,,3172
,,,,,,,,,,,,,,,93.0,,,,,,1.0,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,67.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0.0,13.0,1.0,,,,,,,10.0,27.0,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,25.0,,,21.0,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,,,6.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,18.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,258.0,,9.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11.0,,,,,1.0,,,,,,,,,,,,,,,5.0,740
,,95.0,,3.0,,,0.0,,4.0,,0.0,0.0,2.0,,7.0,0.0,0.0,,32.0,0.0,,,,,1.0,,7.0,1.0,,1.0,,17.0,0.0,,,,,4.0,,,,,,,,,,1.0,,,,0.0,2.0,7.0,4.0,1.0,,,,,0.0,,3.0,1.0,,,,,25.0,,,,,,,,0.0,,,8.0,,,0.0,,,,,,,,,,,,,,32.0,76.0,84.0,,,0.0,,9.0,14.0,,0.0,,3.0,,,0.0,,,,2.0,,,1.0,,1.0,,2.0,,,9.0,,,,16.0,,2.0,1.0,,,,,22.0,,,2.0,,,,,,184.0,,,,,,,,8.0,,37.0,,4.0,6.0,13.0,,,0.0,4.0,,0.0,,3.0,12.0,,2.0,,,,18.0,47.0,21.0,,14.0,5.0,,,,1.0,,,,,,,2.0,,,,,15.0,,30.0,3.0,1.0,,,0.0,9.0,,0.0,,0.0,,,4.0,7.0,,,,,1.0,,2.0,,,,2.0,,,1.0,0.0,1.0,,,,,0.0,,55.0,2.0,,,20.0,,1.0,0.0,1.0,,0.0,0.0,4.0,12.0,,3.0,4.0,64.0,5.0,,,,16.0,2.0,0.0,,,,,,,11.0,,,,,9.0,31.0,,,,42.0,0.0,,,,,1.0,,6.0,,4.0,8.0,,0.0,,,,1.0,,,12.0,,,6.0,,39.0,39.0,,,,,,,,1.0,1.0,6.0,,16.0,,3.0,14.0,,,,1.0,0.0,,,2.0,,,15.0,5.0,,,,0.0,,,0.0,2.0,3.0,1.0,,,5.0,,,14.0,2.0,,,,,0.0,87.0,6.0,19.0,0.0,,,,,,1.0,,3.0,0.0,,,,,,5.0,,,0.0,,2.0,,9.0,,,1.0,,4.0,,,1.0,,,37.0,1.0,0.0,0.0,,,,,,1624
,,2.0,41.0,0.0,,0.0,,,2.0,2.0,,0.0,20.0,,14.0,41.0,1.0,,1.0,,,,,,2.0,2.0,2.0,,,11.0,0.0,,,,,,,3.0,,,,,,,,,,1.0,,,,1.0,2.0,54.0,3.0,2.0,,0.0,,,145.0,0.0,6.0,10.0,0.0,,,,1.0,31.0,0.0,,,,0.0,,,,,2.0,,,2.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,,,,,0.0,,0.0,,2.0,,,4.0,,,,,32.0,,97.0,,20.0,,2.0,,,1.0,,,,1.0,,0.0,,,,,30.0,15.0,,,,,,,,,9.0,,,,,,,,15.0,,,,,,,,,,3.0,,3.0,,0.0,13.0,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,1.0,,,,42.0,1.0,2.0,1.0,0.0,,,1.0,0.0,,,,,,,57.0,26.0,,,,0.0,0.0,,2.0,0.0,,0.0,0.0,,10.0,78.0,,,,0.0,,,,1.0,,5.0,1.0,,,,4.0,8.0,8.0,,1.0,,3.0,1.0,0.0,15.0,6.0,0.0,0.0,,,,12.0,5.0,3.0,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,,65.0,,,,,,,0.0,,0.0,1.0,,0.0,,,1.0,0.0,,,4.0,,,,,,11.0,,,,,,,,,,30.0,,9.0,4.0,6.0,,,0.0,,,,,,4.0,,,0.0,0.0,,1.0,,3.0,,,,0.0,6.0,,,,1.0,,,,,,,,,0.0,2.0,4.0,27.0,0.0,,,,,,0.0,0.0,15.0,8.0,,,,5.0,,1.0,,,0.0,3.0,0.0,,,,,1.0,,27.0,1.0,,0.0,0.0,0.0,0.0,,0.0,4.0,,,,,,1190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,245.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,0.0,,,,,,,,,,,,,,,,,,21.0,,,,,,0.0,3.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,21.0,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,27.0,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,130.0,,,,,,,,,,,,,,73.0,,,,,,,,,,,,643
,,4.0,29.0,11.0,,0.0,0.0,,,20.0,0.0,0.0,69.0,19.0,591.0,1.0,2.0,0.0,19.0,1.0,,,1.0,39.0,19.0,3.0,9.0,4.0,,13.0,67.0,3.0,2.0,,2.0,3.0,,16.0,,1.0,,,,0.0,6.0,,,4.0,,,,74.0,11.0,96.0,8.0,1.0,,0.0,,,0.0,20.0,2.0,16.0,0.0,,0.0,,1.0,0.0,16.0,,,6.0,12.0,,0.0,34.0,4.0,23.0,,,1.0,,,,,0.0,0.0,,,1.0,,,,1.0,5.0,0.0,18.0,4.0,12.0,2.0,,4.0,0.0,14.0,24.0,,94.0,0.0,,12.0,,,1.0,133.0,2.0,0.0,14.0,22.0,3.0,,4.0,,,11.0,,1.0,,11.0,39.0,2.0,24.0,,,1.0,32.0,71.0,1.0,,5.0,,,,,0.0,55.0,44.0,,0.0,0.0,,,,7.0,,1.0,,0.0,3.0,7.0,35.0,,6.0,20.0,,1.0,13.0,0.0,19.0,3.0,0.0,,,0.0,1.0,0.0,0.0,,8.0,0.0,,,,14.0,0.0,,,36.0,,,3.0,1.0,,0.0,,95.0,0.0,23.0,10.0,6.0,1.0,,6.0,22.0,,0.0,,1.0,,,19.0,436.0,,,0.0,0.0,2.0,,1.0,11.0,,2.0,5.0,14.0,0.0,192.0,7.0,11.0,,2.0,,,1.0,2.0,0.0,17.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,,10.0,0.0,61.0,1.0,41.0,131.0,70.0,2.0,8.0,,,0.0,39.0,25.0,1.0,3.0,,,0.0,,,3.0,1.0,,1.0,2.0,3.0,0.0,,0.0,,2.0,0.0,0.0,,,,7.0,,0.0,0.0,0.0,9.0,,13.0,,,6.0,2.0,,,16.0,0.0,,2.0,,0.0,45.0,0.0,,0.0,,12.0,1.0,,0.0,2.0,30.0,,14.0,5.0,4.0,2.0,,0.0,,1.0,13.0,,0.0,29.0,,,0.0,0.0,,1.0,,4.0,,0.0,10.0,29.0,19.0,8.0,2.0,,22.0,8.0,,6.0,6.0,0.0,0.0,1.0,,0.0,8.0,57.0,189.0,3.0,,,0.0,,,16.0,0.0,80.0,1.0,,,0.0,7.0,0.0,3.0,,1.0,1.0,0.0,0.0,,2.0,0.0,,9.0,,25.0,6.0,,4.0,0.0,0.0,1.0,0.0,3.0,14.0,,0.0,,16.0,,4199
