removed_node,global_efficiency,number_of_connected_components
Stratford,0.08891736066511374,3
Bank and Monument,0.08586164448743693,3
Baker Street,0.08203328759058448,3
King's Cross St. Pancras,0.07570039409752381,4
West Ham,0.07302243396164819,5
Canning Town,0.06893502024057609,8
Waterloo,0.06721932836875434,8
Green Park,0.06622091057392743,8
Earl's Court,0.06456171261733087,8
Liverpool Street,0.06294508435469834,9
Oxford Circus,0.06206140366806741,10
Shadwell,0.05942086557392142,11
Turnham Green,0.057915897275616454,11
Euston,0.052386574216348944,12
Willesden Junction,0.04309736951967565,14
Wembley Park,0.03383987976041577,16
Canary Wharf,0.030470905164386507,19
Canada Water,0.029661253659572694,20
London Bridge,0.029347837832747796,22
Westminster,0.027393446242167403,23
