Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All,All Saints,All_Dest,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal
,,,,,2355.0,,,,,,,,,,,,237.0,,,,,,9.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,141.0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,18.0,44.0,14.0,,,,,,,,13.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,18.0,,,,,,,43.0,,,64.0,,,,,71.0,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,34.0,,17.0,,,,,,,,,,,,,,,,,14.0,,,,,,,,,79.0,,,,,,,,,,,,,,111.0,,,,,,,,,,,,,,,,14.0,,,,,-215.0,6.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123.0,,,,,,19.0,,28.0,,,,,,,,,,,,,,,77.0
,,,,,2232.0,,,,,,,,,,,,,,27.0,,,,,,,,,,,13.0,,,,,,,,,,,,,-67.0,-17.0,,,,,13.0,,7.0,,-9.0,,76.0,,,,12.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,33.0,,60.0,,,,,,,,,,,,,,,17.0,,,,,,,,54.0,,,,,,-31.0,,,,,,,,,,,,,6.0,,,,,,-93.0,31.0,,14.0,23.0,,,,-30.0,,6.0,,11.0,3.0,,3.0,,6.0,,,,,,,,9.0,38.0,,,,,,26.0,,,,,,42.0,,,,,,,2.0,-26.0,,,-40.0,4.0,-16.0,,9.0,,,,,,,,,,,,,,12.0,,11.0,,,,,,,,,,,,,,,,,,,,,,45.0,34.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,-305.0,,,,,,,,,,,,,,111.0,,,,179.0,,,,1.0,,5.0,,,2.0,,,19.0,,,,,,,,,,,,,,,,,,3.0,166.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,19.0,29.0,4.0,,,,,,,-122.0,,,,,,,,,,17.0,64.0,,-80.0,,,,,,,8.0,,
,,,34.0,19.0,7111.0,,,-32.0,2.0,,23.0,10.0,3.0,2.0,41.0,19.0,225.0,30.0,26.0,2.0,-75.0,1.0,,,3.0,13.0,8.0,17.0,7.0,14.0,,57.0,15.0,-59.0,3.0,,5.0,,,4.0,,6.0,,,,,4.0,,,7.0,,,,24.0,63.0,163.0,56.0,4.0,,3.0,,,5.0,8.0,45.0,24.0,,,,,-16.0,6.0,6.0,,,5.0,5.0,,2.0,11.0,5.0,-26.0,,,3.0,,,,,4.0,6.0,,,,,,,5.0,-96.0,-11.0,-108.0,4.0,7.0,8.0,,-6.0,0.0,4.0,15.0,,6.0,,,25.0,,,,61.0,39.0,,90.0,10.0,15.0,,22.0,,,-27.0,,3.0,,-45.0,10.0,2.0,19.0,,,,23.0,25.0,3.0,,11.0,,,,,,-342.0,12.0,,,,,,,6.0,,-57.0,,-7.0,-14.0,-35.0,10.0,,,2.0,,87.0,4.0,2.0,-26.0,9.0,0.0,,,,-40.0,-52.0,-18.0,,-24.0,2.0,,,,4.0,,,,15.0,,,-2.0,9.0,,,,76.0,5.0,-39.0,-1.0,0.0,8.0,,-2.0,-16.0,,7.0,,9.0,,,170.0,83.0,,,,,5.0,,-2.0,24.0,,17.0,13.0,4.0,,93.0,7.0,11.0,,,,,3.0,8.0,-18.0,13.0,,,-27.0,2.0,5.0,4.0,2.0,,13.0,3.0,40.0,-20.0,11.0,140.0,43.0,-33.0,-19.0,,,2.0,-31.0,11.0,2.0,4.0,,,2.0,,,-12.0,,,2.0,,-37.0,-2.0,,1.0,7.0,-19.0,6.0,,,,,-5.0,,1.0,,2.0,-22.0,,36.0,,,32.0,1.0,,,-5.0,,,-19.0,,-10.0,-78.0,,,2.0,,,4.0,,-9.0,3.0,10.0,,-13.0,15.0,30.0,-10.0,,,,7.0,5.0,,,169.0,,,-14.0,-12.0,,9.0,,15.0,,,5.0,16.0,68.0,12.0,1.0,,7.0,2.0,,-16.0,2.0,7.0,,3.0,,8.0,-25.0,41.0,72.0,24.0,,,,,,46.0,,62.0,6.0,,,,23.0,-1.0,0.0,,,23.0,22.0,1.0,,-9.0,,,-4.0,,28.0,21.0,,56.0,4.0,,-53.0,0.0,3.0,-2.0,,4.0,,5.0,
,,10.0,,16.0,5326.0,,,,2.0,,4.0,7.0,4.0,-1.0,-118.0,16.0,132.0,-201.0,21.0,2.0,12.0,3.0,,,,10.0,9.0,11.0,16.0,9.0,,54.0,9.0,5.0,1.0,,4.0,3.0,,14.0,,,,,,1.0,4.0,,,-4.0,,,,13.0,50.0,153.0,43.0,7.0,,1.0,,,4.0,5.0,36.0,21.0,2.0,,2.0,,,7.0,7.0,,,5.0,5.0,,1.0,6.0,4.0,11.0,,,3.0,,,,,,,,,5.0,,,,0.0,20.0,5.0,22.0,3.0,6.0,7.0,,8.0,0.0,4.0,-1.0,,16.0,,,15.0,,,3.0,51.0,-322.0,1.0,-618.0,8.0,-16.0,,14.0,,,16.0,,2.0,,19.0,8.0,2.0,25.0,,,,-203.0,82.0,6.0,,18.0,,,,,1.0,67.0,8.0,,9.0,8.0,,,7.0,-9.0,,7.0,,4.0,4.0,8.0,7.0,,5.0,2.0,,67.0,3.0,1.0,43.0,6.0,-2.0,,,,3.0,4.0,2.0,,7.0,3.0,,,,4.0,3.0,,,11.0,,,3.0,8.0,,4.0,,-256.0,3.0,22.0,0.0,4.0,8.0,,1.0,26.0,,5.0,,7.0,,,17.0,66.0,,,4.0,3.0,-1.0,,16.0,16.0,,12.0,10.0,5.0,6.0,-65.0,6.0,12.0,,3.0,,,2.0,14.0,,19.0,-1.0,3.0,5.0,4.0,-12.0,5.0,2.0,,13.0,2.0,26.0,3.0,8.0,125.0,-4.0,,11.0,,,3.0,38.0,18.0,1.0,4.0,,,-3.0,,,10.0,5.0,,2.0,9.0,,1.0,,1.0,,18.0,3.0,,,,,1.0,,1.0,2.0,2.0,8.0,,31.0,,,32.0,-1.0,,,21.0,3.0,,4.0,,3.0,43.0,3.0,,2.0,,8.0,3.0,,6.0,3.0,27.0,,25.0,14.0,27.0,4.0,,1.0,,5.0,6.0,,4.0,118.0,,,2.0,2.0,,8.0,,12.0,,,5.0,15.0,43.0,12.0,2.0,,8.0,3.0,,7.0,2.0,,,,,6.0,-10.0,50.0,100.0,19.0,,,2.0,,,54.0,4.0,62.0,5.0,,,6.0,-16.0,4.0,19.0,,1.0,16.0,12.0,-1.0,,6.0,2.0,,0.0,,31.0,25.0,,33.0,-1.0,16.0,26.0,,4.0,1.0,,3.0,,4.0,
,,8.0,17.0,,5220.0,,,5.0,2.0,,2.0,5.0,4.0,1.0,5.0,14.0,49.0,-25.0,5.0,2.0,5.0,4.0,,,2.0,9.0,9.0,11.0,-137.0,10.0,,29.0,3.0,3.0,3.0,,-12.0,3.0,,11.0,,-13.0,,,,1.0,3.0,,,3.0,,,,5.0,45.0,140.0,36.0,-73.0,,3.0,,,,2.0,33.0,20.0,,,2.0,,4.0,,4.0,,,3.0,5.0,,2.0,8.0,4.0,10.0,,,,,,,,1.0,3.0,,,3.0,,,,3.0,18.0,5.0,4.0,6.0,6.0,-7.0,,-1.0,2.0,4.0,4.0,,-1.0,2.0,,-101.0,,,3.0,42.0,-73.0,1.0,-79.0,5.0,13.0,,20.0,,,7.0,,2.0,,-1.0,8.0,-2.0,12.0,,,1.0,-4.0,40.0,6.0,,4.0,,,,,2.0,32.0,8.0,,8.0,7.0,,,7.0,13.0,,4.0,,3.0,1.0,2.0,5.0,,5.0,10.0,,69.0,3.0,2.0,13.0,8.0,3.0,,,2.0,3.0,3.0,1.0,,7.0,,,,,2.0,3.0,,15.0,10.0,,,2.0,8.0,,4.0,,-15.0,5.0,11.0,4.0,0.0,6.0,,2.0,10.0,,2.0,,-2.0,,,45.0,45.0,,,4.0,4.0,5.0,,-58.0,15.0,,9.0,-13.0,5.0,,-16.0,4.0,10.0,,4.0,,,2.0,12.0,3.0,12.0,1.0,2.0,5.0,4.0,8.0,7.0,3.0,,20.0,2.0,29.0,2.0,2.0,92.0,3.0,7.0,4.0,,,3.0,-19.0,15.0,2.0,-5.0,,,2.0,,,-2.0,8.0,,2.0,6.0,4.0,2.0,,1.0,14.0,2.0,,1.0,,,,1.0,,2.0,,3.0,11.0,,33.0,,,32.0,-1.0,,,-31.0,1.0,,2.0,,3.0,-26.0,,,2.0,,6.0,0.0,,3.0,4.0,27.0,,-76.0,13.0,28.0,0.0,,5.0,,-34.0,2.0,,4.0,34.0,,,2.0,2.0,,10.0,,-175.0,,1.0,3.0,8.0,13.0,12.0,2.0,,-11.0,3.0,,1.0,4.0,6.0,6.0,2.0,,-7.0,19.0,35.0,76.0,19.0,,,2.0,,,51.0,5.0,17.0,7.0,,,6.0,23.0,4.0,8.0,,1.0,2.0,18.0,,,-10.0,2.0,,1.0,,-54.0,23.0,,-55.0,4.0,17.0,2.0,4.0,8.0,-3.0,,2.0,,3.0,
,,,,,2340.0,,,,,,,,,,,,122.0,,,,,,10.0,,,,,,,,,,,,,-57.0,,,,,,,,,,,,,,,,,,,,26.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,19.0,25.0,20.0,,,,,,,13.0,-17.0,,,,,,,,28.0,,,,,,,,7.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,0.0,,,35.0,,,,,50.0,,,48.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,17.0,,,4.0,,,,,,,,,,,,,,,,19.0,,18.0,,,,,,,48.0,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,-154.0,,27.0,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,-4.0,,,,,20.0,,,,,,,,,,,,,,,107.0
,,-88.0,,36.0,8840.0,,,,2.0,,33.0,,5.0,2.0,65.0,,311.0,43.0,28.0,,-20.0,5.0,,,,,14.0,,43.0,14.0,,92.0,,-13.0,4.0,,,,,17.0,,,,,,,,,,8.0,,,,29.0,78.0,229.0,59.0,23.0,,,,,5.0,,68.0,31.0,,,,,-19.0,,,,,,,,2.0,,,12.0,,,3.0,,,,,,,,,,,,,,-18.0,-73.0,-58.0,,,10.0,,-1.0,-12.0,,30.0,,26.0,,,46.0,,,,81.0,,,117.0,,16.0,,29.0,,,7.0,,,,4.0,,0.0,35.0,,,,,95.0,,,12.0,,,,,,-121.0,,,,,,,,2.0,,-31.0,,-1.0,-2.0,-3.0,,,6.0,17.0,,99.0,,-1.0,89.0,,6.0,,,,-15.0,-44.0,-19.0,,-3.0,-3.0,,,,5.0,,,,,,,1.0,,,,,139.0,,-2.0,6.0,5.0,,,5.0,31.0,,8.0,,10.0,,,241.0,127.0,,,,,6.0,,41.0,,,,15.0,,,116.0,7.0,16.0,,,,,3.0,,-53.0,26.0,,,-16.0,,6.0,5.0,2.0,,23.0,3.0,69.0,-10.0,,196.0,79.0,-59.0,7.0,,,,45.0,22.0,2.0,,,,,,,-1.0,,,,,-1.0,-29.0,,,,-26.0,6.0,,,,,4.0,,-5.0,,-2.0,16.0,,45.0,,,,1.0,,,22.0,,,-3.0,,-37.0,22.0,,,,,,,,6.0,4.0,40.0,,41.0,,59.0,-10.0,,,,9.0,8.0,,,188.0,,,-14.0,-4.0,,,,33.0,,,6.0,18.0,84.0,16.0,,,33.0,,,-8.0,3.0,,,,,8.0,-72.0,62.0,122.0,26.0,,,,,,77.0,,101.0,6.0,,,,,,15.0,,,24.0,,-1.0,,-3.0,,,5.0,,64.0,,,70.0,,,-11.0,3.0,10.0,8.0,,,,,
,,11.0,9.0,48.0,12786.0,,,5.0,,,45.0,12.0,,2.0,66.0,,392.0,12.0,32.0,,17.0,,,,,,17.0,23.0,63.0,,,111.0,23.0,,,,,,,25.0,,,,,,,,,,11.0,,,,37.0,99.0,238.0,73.0,29.0,,4.0,,,-143.0,10.0,86.0,32.0,1.0,,,,10.0,-27.0,13.0,,,,10.0,,,,,24.0,,,0.0,,,,,,,,,,,,,5.0,25.0,7.0,38.0,,,,,,2.0,,40.0,,35.0,,,56.0,,,,,27.0,,50.0,,0.0,,36.0,,,23.0,,,,30.0,,3.0,,,,,16.0,143.0,,,,,,,,,92.0,,,,,,,,-1.0,,,,,,,,,,28.0,,118.0,,2.0,118.0,,10.0,,,,,,,,15.0,3.0,,,,,4.0,,,21.0,,,4.0,11.0,,,,153.0,5.0,38.0,12.0,8.0,,,7.0,53.0,,,,,,,252.0,147.0,,,,7.0,8.0,,54.0,38.0,,26.0,21.0,,-6.0,69.0,,,,5.0,,,,19.0,,29.0,0.0,,,,5.0,-3.0,-5.0,,32.0,,88.0,3.0,17.0,246.0,107.0,12.0,17.0,,,,68.0,27.0,-1.0,,,,3.0,,,15.0,13.0,,3.0,,,2.0,,,25.0,,-61.0,,,,,,,2.0,,3.0,30.0,,54.0,,,51.0,4.0,,,44.0,,,,,,78.0,,,,,,,,,,30.0,,69.0,19.0,74.0,,,6.0,,,,,,223.0,,,2.0,2.0,,15.0,,41.0,,,,25.0,107.0,,,,47.0,,,,,,,,,10.0,17.0,87.0,167.0,30.0,,,,,,101.0,9.0,123.0,-2.0,,,,23.0,,28.0,,,29.0,28.0,1.0,,,,,8.0,,63.0,39.0,,88.0,5.0,23.0,35.0,,12.0,9.0,,,,,
,,,,,1319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,49.0,,-183.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,18.0,22.0,,,,40.0,,,,,,,,,,,,,,,,,,74.0,,,,,,30.0,4.0,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,-14.0,,,,,,,,,,26.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,69.0,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,-88.0,,,,,,,,,,,,,,-14.0,,,,,,,,,,,
,,6.0,-7.0,11.0,4153.0,,,5.0,2.0,,,-12.0,3.0,1.0,-28.0,-3.0,-415.0,22.0,20.0,2.0,-7.0,3.0,,,1.0,-30.0,-9.0,10.0,22.0,7.0,,47.0,-56.0,2.0,1.0,,3.0,0.0,,1.0,,5.0,,,,2.0,-2.0,,,1.0,,,,-57.0,44.0,71.0,38.0,13.0,,3.0,,,5.0,-15.0,39.0,5.0,2.0,,2.0,,7.0,7.0,-8.0,,,0.0,-5.0,,2.0,-25.0,0.0,-11.0,,,2.0,,,,,3.0,5.0,,,4.0,,,,3.0,15.0,5.0,6.0,3.0,-7.0,6.0,,4.0,2.0,-10.0,-3.0,,-75.0,2.0,,18.0,,,2.0,-92.0,22.0,1.0,50.0,-13.0,9.0,,15.0,,,4.0,,2.0,,7.0,-31.0,0.0,-3.0,,,0.0,-12.0,9.0,5.0,,12.0,,,,,2.0,12.0,-35.0,,8.0,8.0,,,,6.0,,6.0,,4.0,2.0,4.0,-27.0,,-1.0,-1.0,,56.0,-9.0,2.0,37.0,6.0,5.0,,,3.0,2.0,4.0,2.0,,0.0,2.0,,,,-10.0,3.0,,,-25.0,,,0.0,7.0,,4.0,,-32.0,5.0,-2.0,-2.0,-2.0,7.0,,-1.0,3.0,,6.0,,7.0,,,110.0,-355.0,,,4.0,4.0,2.0,,24.0,8.0,,11.0,6.0,-9.0,6.0,-134.0,-1.0,-2.0,,2.0,,,2.0,12.0,3.0,3.0,1.0,2.0,4.0,3.0,5.0,5.0,3.0,,9.0,2.0,-29.0,2.0,-32.0,-8.0,-10.0,8.0,3.0,,,3.0,0.0,-7.0,1.0,1.0,,,2.0,,,7.0,7.0,,1.0,6.0,6.0,2.0,,1.0,,16.0,6.0,2.0,,,,-3.0,,2.0,2.0,3.0,3.0,,19.0,,,26.0,0.0,,,11.0,3.0,,2.0,,3.0,6.0,2.0,,2.0,,-4.0,3.0,,6.0,2.0,1.0,,27.0,8.0,33.0,2.0,,5.0,,5.0,-7.0,,4.0,106.0,,,2.0,2.0,,8.0,,18.0,,1.0,-5.0,-12.0,33.0,4.0,0.0,,0.0,-6.0,,1.0,-2.0,6.0,6.0,2.0,,6.0,10.0,-4.0,-85.0,17.0,,,3.0,,,26.0,5.0,-9.0,6.0,,,6.0,16.0,3.0,15.0,,0.0,16.0,19.0,1.0,,4.0,2.0,,-4.0,,22.0,19.0,,39.0,3.0,15.0,24.0,4.0,4.0,-6.0,,3.0,,-12.0,
