station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.525096866283
Abbey Road,Beckton,1,599,442,8510.121773990442
Abbey Road,Blackwall,3,599,665,3775.448872076929
Abbey Road,Canary Wharf,1,599,58772,5086.514219664228
Abbey Road,Canning Town,37,599,15428,2228.9231673294807
Abbey Road,Crossharbour,1,599,1208,6686.475559949467
Abbey Road,Custom House,0,599,845,3824.8556298933804
Abbey Road,Cutty Sark,2,599,1748,8503.89890894911
Abbey Road,Cyprus,7,599,850,6532.099617537119
Abbey Road,Devons Road,1,599,611,3958.3241708370692
Abbey Road,East India,2,599,1522,3384.141666474724
Abbey Road,Island Gardens,2,599,691,7706.296370374719
Abbey Road,King George V,5,599,800,6806.021039114408
Abbey Road,Langdon Park,8,599,1989,4810.672967127299
Abbey Road,Lewisham,0,599,2400,11213.451493923063
Abbey Road,Limehouse,2,599,2969,6154.537881349839
Abbey Road,London City Airport,4,599,1941,5777.4441477879345
Abbey Road,Pontoon Dock,8,599,1123,4636.094118126253
Abbey Road,Poplar,0,599,1301,4498.407429529047
Abbey Road,Prince Regent,1,599,754,4349.3425087025125
Abbey Road,Royal Albert,4,599,684,5237.76299118091
Abbey Road,Shadwell,1,599,7447,6583.570466259272
Abbey Road,South Quay,7,599,4591,6089.7280561268435
Abbey Road,Star Lane,7,599,1052,1397.4940849962309
Abbey Road,Stratford,285,599,55954,1174.5113748307776
Abbey Road,Stratford High Street,10,599,788,655.2113012868256
Abbey Road,Stratford International,33,599,1546,2495.5794919447
Abbey Road,West Ham,130,599,5487,533.8424216961267
Abbey Road,West Silvertown,2,599,893,3880.0482282541834
Abbey Road,Westferry,3,599,1250,5180.920874269972
Abbey Road,Woolwich Arsenal,32,599,4428,9235.296782443345
Acton Central,Barking,0,1224,7004,28856.336866213554
Acton Central,Blackhorse Road,0,1224,2955,19050.020494428947
Acton Central,Brondesbury,76,1224,712,6439.433521447541
Acton Central,Brondesbury Park,31,1224,895,5697.244849605318
Acton Central,Bushey,0,1224,456,20283.810488481082
