,coef,std err,z,P>|z|,[0.025,0.975]
station_destination[Abbey Road],    0.9988,    0.054,   18.574, 0.000,    0.893,    1.104
station_destination[Acton Central],    0.9398,    0.036,   25.763, 0.000,    0.868,    1.011
station_destination[Acton Town],   -0.5242,    0.021,  -24.590, 0.000,   -0.566,   -0.482
station_destination[Aldgate],   -1.0763,    0.012,  -92.913, 0.000,   -1.099,   -1.054
station_destination[Aldgate East],   -1.1399,    0.011,  -99.322, 0.000,   -1.162,   -1.117
station_destination[All Saints],    0.6638,    0.047,   14.006, 0.000,    0.571,    0.757
station_destination[Alperton],    0.2104,    0.037,    5.732, 0.000,    0.138,    0.282
station_destination[Amersham],    1.1878,    0.063,   19.003, 0.000,    1.065,    1.310
station_destination[Anerley],    2.0359,    0.076,   26.797, 0.000,    1.887,    2.185
station_destination[Angel],   -1.1875,    0.011, -104.558, 0.000,   -1.210,   -1.165
station_destination[Archway],   -0.5369,    0.021,  -25.138, 0.000,   -0.579,   -0.495
station_destination[Arnos Grove],    0.1306,    0.037,    3.574, 0.000,    0.059,    0.202
station_destination[Arsenal],   -0.0828,    0.056,   -1.471, 0.141,   -0.193,    0.028
station_destination[Baker Street],   -1.4351,    0.009, -163.888, 0.000,   -1.452,   -1.418
station_destination[Balham],   -0.5230,    0.016,  -32.190, 0.000,   -0.555,   -0.491
station_destination[Bank and Monument],   -2.0023,    0.006, -328.281, 0.000,   -2.014,   -1.990
station_destination[Barbican],   -1.2504,    0.011, -116.028, 0.000,   -1.272,   -1.229
station_destination[Barking],   -0.7363,    0.012,  -60.917, 0.000,   -0.760,   -0.713
station_destination[Barkingside],    0.6636,    0.062,   10.746, 0.000,    0.543,    0.785
station_destination[Barons Court],   -0.7993,    0.018,  -43.371, 0.000,   -0.835,   -0.763
station_destination[Bayswater],   -0.1975,    0.040,   -4.902, 0.000,   -0.276,   -0.119
station_destination[Beckton],    1.1995,    0.048,   25.243, 0.000,    1.106,    1.293
station_destination[Beckton Park],    1.6655,    0.107,   15.634, 0.000,    1.457,    1.874
station_destination[Becontree],    0.3796,    0.047,    8.109, 0.000,    0.288,    0.471
station_destination[Belsize Park],   -0.4738,    0.021,  -22.488, 0.000,   -0.515,   -0.432
station_destination[Bermondsey],   -0.7740,    0.018,  -43.498, 0.000,   -0.809,   -0.739
station_destination[Bethnal Green],   -1.0117,    0.015,  -68.620, 0.000,   -1.041,   -0.983
station_destination[Blackfriars],   -1.3042,    0.010, -130.438, 0.000,   -1.324,   -1.285
station_destination[Blackhorse Road],   -0.5131,    0.018,  -27.851, 0.000,   -0.549,   -0.477
station_destination[Blackwall],    0.4771,    0.039,   12.319, 0.000,    0.401,    0.553
station_destination[Bond Street],   -1.5611,    0.008, -201.163, 0.000,   -1.576,   -1.546
station_destination[Borough],   -0.8841,    0.018,  -50.274, 0.000,   -0.919,   -0.850
station_destination[Boston Manor],    0.0403,    0.033,    1.204, 0.228,   -0.025,    0.106
station_destination[Bounds Green],    0.0010,    0.036,    0.029, 0.977,   -0.069,    0.071
station_destination[Bow Church],    0.6913,    0.033,   21.048, 0.000,    0.627,    0.756
station_destination[Bow Road],   -0.3972,    0.029,  -13.731, 0.000,   -0.454,   -0.341
station_destination[Brent Cross],    0.3723,    0.047,    7.903, 0.000,    0.280,    0.465
station_destination[Brentwood],    2.5892,    0.037,   70.587, 0.000,    2.517,    2.661
station_destination[Brixton],   -0.7970,    0.014,  -56.448, 0.000,   -0.825,   -0.769
station_destination[Brockley],    1.1672,    0.046,   25.277, 0.000,    1.077,    1.258
station_destination[Bromley-by-Bow],   -0.4279,    0.025,  -17.193, 0.000,   -0.477,   -0.379
station_destination[Brondesbury],    0.6832,    0.037,   18.251, 0.000,    0.610,    0.757
station_destination[Brondesbury Park],    0.7224,    0.033,   21.636, 0.000,    0.657,    0.788
station_destination[Bruce Grove],    1.5161,    0.053,   28.393, 0.000,    1.411,    1.621
station_destination[Buckhurst Hill],    0.7580,    0.066,   11.450, 0.000,    0.628,    0.888
station_destination[Burnt Oak],    0.3976,    0.039,   10.134, 0.000,    0.321,    0.474
station_destination[Bush Hill Park],    1.8747,    0.075,   24.887, 0.000,    1.727,    2.022
station_destination[Bushey],    1.6906,    0.047,   36.133, 0.000,    1.599,    1.782
station_destination[Caledonian Road],   -0.6859,    0.024,  -29.133, 0.000,   -0.732,   -0.640
station_destination[Caledonian Road & Barnsbury],    0.5307,    0.024,   21.681, 0.000,    0.483,    0.579
station_destination[Cambridge Heath],    1.3077,    0.047,   28.020, 0.000,    1.216,    1.399
station_destination[Camden Road],    0.1126,    0.016,    6.897, 0.000,    0.081,    0.145
station_destination[Camden Town],   -1.1085,    0.013,  -87.075, 0.000,   -1.133,   -1.084
station_destination[Canada Water],   -1.4637,    0.008, -189.348, 0.000,   -1.479,   -1.449
station_destination[Canary Wharf],   -1.7784,    0.006, -290.460, 0.000,   -1.790,   -1.766
station_destination[Canning Town],   -1.3575,    0.009, -158.122, 0.000,   -1.374,   -1.341
station_destination[Cannon Street],   -1.0856,    0.015,  -73.713, 0.000,   -1.114,   -1.057
station_destination[Canonbury],    0.6391,    0.034,   18.609, 0.000,    0.572,    0.706
station_destination[Canons Park],    0.4473,    0.044,   10.263, 0.000,    0.362,    0.533
station_destination[Carpenders Park],    1.6872,    0.054,   31.133, 0.000,    1.581,    1.793
station_destination[Chadwell Heath],    2.0924,    0.042,   49.619, 0.000,    2.010,    2.175
station_destination[Chalfont & Latimer],    1.1774,    0.042,   27.712, 0.000,    1.094,    1.261
station_destination[Chalk Farm],   -0.4544,    0.027,  -16.578, 0.000,   -0.508,   -0.401
station_destination[Chancery Lane],   -1.4075,    0.009, -162.507, 0.000,   -1.424,   -1.390
station_destination[Charing Cross],   -1.3498,    0.012, -110.629, 0.000,   -1.374,   -1.326
station_destination[Chesham],    1.4997,    0.064,   23.375, 0.000,    1.374,    1.625
station_destination[Cheshunt],    2.3109,    0.093,   24.900, 0.000,    2.129,    2.493
station_destination[Chigwell],    1.2690,    0.082,   15.446, 0.000,    1.108,    1.430
station_destination[Chingford],    2.0564,    0.065,   31.673, 0.000,    1.929,    2.184
station_destination[Chiswick Park],   -0.3360,    0.026,  -13.094, 0.000,   -0.386,   -0.286
station_destination[Chorleywood],    1.1202,    0.038,   29.683, 0.000,    1.046,    1.194
station_destination[Clapham Common],   -0.5479,    0.022,  -24.626, 0.000,   -0.592,   -0.504
station_destination[Clapham High Street],    1.2560,    0.028,   45.256, 0.000,    1.202,    1.310
station_destination[Clapham Junction],    0.5348,    0.014,   37.465, 0.000,    0.507,    0.563
station_destination[Clapham North],   -0.4116,    0.028,  -14.493, 0.000,   -0.467,   -0.356
station_destination[Clapham South],   -0.3547,    0.026,  -13.804, 0.000,   -0.405,   -0.304
station_destination[Clapton],    1.6402,    0.048,   33.926, 0.000,    1.545,    1.735
station_destination[Cockfosters],    0.8023,    0.062,   12.990, 0.000,    0.681,    0.923
station_destination[Colindale],   -0.0887,    0.022,   -4.047, 0.000,   -0.132,   -0.046
station_destination[Colliers Wood],    0.0519,    0.034,    1.527, 0.127,   -0.015,    0.118
station_destination[Covent Garden],   -1.2098,    0.015,  -79.216, 0.000,   -1.240,   -1.180
station_destination[Crossharbour],    0.3890,    0.029,   13.530, 0.000,    0.333,    0.445
station_destination[Crouch Hill],    1.3202,    0.050,   26.561, 0.000,    1.223,    1.418
station_destination[Croxley],    1.0766,    0.054,   19.856, 0.000,    0.970,    1.183
station_destination[Crystal Palace],    1.8849,    0.045,   42.139, 0.000,    1.797,    1.973
station_destination[Custom House],    0.5185,    0.034,   15.089, 0.000,    0.451,    0.586
station_destination[Cutty Sark],    0.4686,    0.024,   19.587, 0.000,    0.422,    0.515
station_destination[Cyprus],    0.7896,    0.034,   23.048, 0.000,    0.722,    0.857
station_destination[Dagenham East],    0.4202,    0.039,   10.708, 0.000,    0.343,    0.497
station_destination[Dagenham Heathway],    0.1154,    0.030,    3.841, 0.000,    0.057,    0.174
station_destination[Dalston Junction],    0.7594,    0.028,   27.288, 0.000,    0.705,    0.814
