,station_origin,station_destination,flows_x,population,jobs,distance,population_log,jobs_log,distance_log,new_jobs_scenariA,gamma_j,attrsimest2,Bj1,B_j2,D_j,attrsimest3,attrsimFitted,Bj2,attrsimest4,diff
55915,Waterloo,Canary Wharf,8085,67372,58772,7433.9857500960625,11.117984780318276,10.981420829995836,8.91381743399984,29386.0,0.6799116306417629,1217680.0,616951.9169489833,2.176715043740569e-09,58772,160.0,314.0,4.421503005065982e-09,160.0,-7925.0
32609,London Bridge,Canary Wharf,6165,32597,58772,5679.209735476799,10.391975538580404,10.981420829995836,8.644567370957542,29386.0,0.6799116306417629,1118455.0,566678.6177092439,2.176715043740569e-09,58772,147.0,382.0,4.421503005065982e-09,147.0,-6018.0
8516,Canada Water,Canary Wharf,4030,27026,58772,2601.866276493145,10.204554644598032,10.981420829995836,7.863984265166543,29386.0,0.6799116306417629,874178.0,442912.551548608,2.176715043740569e-09,58772,115.0,538.0,4.421503005065982e-09,115.0,-3915.0
49894,Stratford,Canary Wharf,3875,59311,58772,5482.674319542432,10.990550065253778,10.981420829995836,8.609348275416748,29386.0,0.6799116306417629,1106089.0,560413.0598497785,2.176715043740569e-09,58772,146.0,390.0,4.421503005065982e-09,146.0,-3729.0
2596,Bank and Monument,Canary Wharf,2339,29494,58772,5387.42242779288,10.291942131810886,10.981420829995836,8.591822335754816,29386.0,0.6799116306417629,1099986.0,557321.0172191204,2.176715043740569e-09,58772,145.0,394.0,4.421503005065982e-09,145.0,-2194.0
31665,Lewisham,Canary Wharf,1920,7868,58772,6126.937274258347,8.97055917950895,10.981420829995836,8.720450275078726,29386.0,0.6799116306417629,1145572.0,580417.4474845236,2.176715043740569e-09,58772,151.0,363.0,4.421503005065982e-09,151.0,-1769.0
36318,North Greenwich,Canary Wharf,1616,10931,58772,1829.783291029848,9.299358068293836,10.981420829995836,7.511952818620972,29386.0,0.6799116306417629,782233.0,396327.37712929014,2.176715043740569e-09,58772,103.0,586.0,4.421503005065982e-09,103.0,-1513.0
47717,Southwark,Canary Wharf,1429,4882,58772,6777.558820579523,8.493310250952906,10.981420829995836,8.821372260137007,29386.0,0.6799116306417629,1182657.0,599207.1387087035,2.176715043740569e-09,58772,156.0,338.0,4.421503005065982e-09,156.0,-1273.0
9124,Canning Town,Canary Wharf,1258,21125,58772,2857.59105233484,9.958212452225377,10.981420829995836,7.957734259495461,29386.0,0.6799116306417629,900436.0,456216.74270293076,2.176715043740569e-09,58772,119.0,523.0,4.421503005065982e-09,119.0,-1139.0
4450,Bermondsey,Canary Wharf,937,5102,58772,3591.383197053732,8.537387898701757,10.981420829995836,8.186292698934976,29386.0,0.6799116306417629,967807.0,490350.7493330221,2.176715043740569e-09,58772,127.0,482.0,4.421503005065982e-09,127.0,-810.0
