,station_origin,station_destination,flows_x,population,jobs,distance,population_log,jobs_log,distance_log,new_jobs_scenariA,gamma_j,attrsimest2,Bj1,B_j2,D_j,attrsimest3,attrsimFitted,Bj2,attrsimest4,diff
10751,Chesham,Bank and Monument,2,932,78549,47450.48948873311,6.837332814685591,11.271477912857982,10.767442119869653,78549.0,0.5925434464189843,5473713.0,3026520.9091561087,1.7424348692612464e-09,78549,414.0,4.0,1.7424348692612464e-09,414.0,412.0
1015,Amersham,Bank and Monument,14,1190,78549,44520.21324783082,7.081708586105575,11.271477912857982,10.703698595311316,78549.0,0.5925434464189843,5364666.0,2966226.895247077,1.7424348692612464e-09,78549,406.0,5.0,1.7424348692612464e-09,406.0,392.0
9924,Chalfont & Latimer,Bank and Monument,7,940,78549,41134.55310047448,6.84587987526405,11.271477912857982,10.624603755328003,78549.0,0.5925434464189843,5232373.0,2893079.548446716,1.7424348692612464e-09,78549,396.0,8.0,1.7424348692612464e-09,396.0,389.0
11215,Chorleywood,Bank and Monument,7,900,78549,37621.69980901746,6.802394763324311,11.271477912857982,10.535336285487048,78549.0,0.5925434464189843,5086980.0,2812688.922995696,1.7424348692612464e-09,78549,385.0,12.0,1.7424348692612464e-09,385.0,378.0
56151,Watford,Bank and Monument,10,1400,78549,35638.15628352613,7.24422751560335,11.271477912857982,10.48117214858349,78549.0,0.5925434464189843,5000738.0,2765003.8325629565,1.7424348692612464e-09,78549,378.0,14.0,1.7424348692612464e-09,378.0,368.0
12995,Croxley,Bank and Monument,5,1035,78549,33583.27775886498,6.942156705699469,11.271477912857982,10.421783536316571,78549.0,0.5925434464189843,4907856.0,2713647.8639738727,1.7424348692612464e-09,78549,371.0,18.0,1.7424348692612464e-09,371.0,366.0
43257,Rickmansworth,Bank and Monument,10,1258,78549,34070.346568454675,7.1372784372603855,11.271477912857982,10.436182682850257,78549.0,0.5925434464189843,4930216.0,2726011.165418117,1.7424348692612464e-09,78549,373.0,17.0,1.7424348692612464e-09,373.0,363.0
54117,Uxbridge,Bank and Monument,9,2764,78549,32497.07423031565,7.92443418488756,11.271477912857982,10.38890534058286,78549.0,0.5925434464189843,4857180.0,2685627.9775685146,1.7424348692612464e-09,78549,368.0,21.0,1.7424348692612464e-09,368.0,359.0
34644,Moor Park,Bank and Monument,4,648,78549,30673.12711045843,6.473890696352274,11.271477912857982,10.33114221182135,78549.0,0.5925434464189843,4769412.0,2637099.1660395656,1.7424348692612464e-09,78549,361.0,25.0,1.7424348692612464e-09,361.0,357.0
23957,Heathrow Terminal 5,Bank and Monument,14,938,78549,32443.451347696573,6.843749949006225,11.271477912857982,10.387253894299391,78549.0,0.5925434464189843,4854648.0,2684228.216615742,1.7424348692612464e-09,78549,367.0,21.0,1.7424348692612464e-09,367.0,353.0
25673,Hillingdon,Bank and Monument,8,1337,78549,30352.67910294367,7.198183577101943,11.271477912857982,10.320640066164865,78549.0,0.5925434464189843,4753625.0,2628370.6273333835,1.7424348692612464e-09,78549,360.0,26.0,1.7424348692612464e-09,360.0,352.0
27700,Ickenham,Bank and Monument,4,737,78549,29228.24190774084,6.602587892189336,11.271477912857982,10.282890709452088,78549.0,0.5925434464189843,4697313.0,2597234.2728641178,1.7424348692612464e-09,78549,355.0,30.0,1.7424348692612464e-09,355.0,351.0
23760,Heathrow Terminal 4,Bank and Monument,5,811,78549,29451.7546199088,6.698268054115413,11.271477912857982,10.290508766928326,78549.0,0.5925434464189843,4708623.0,2603487.935798972,1.7424348692612464e-09,78549,356.0,29.0,1.7424348692612464e-09,356.0,351.0
43810,Ruislip,Bank and Monument,5,1305,78549,27442.58692539387,7.173958319756794,11.271477912857982,10.21985135310292,78549.0,0.5925434464189843,4604757.0,2546058.377410351,1.7424348692612464e-09,78549,348.0,36.0,1.7424348692612464e-09,348.0,343.0
44049,Ruislip Manor,Bank and Monument,4,1399,78549,26763.700945156008,7.243512974665482,11.271477912857982,10.1948018060679,78549.0,0.5925434464189843,4568487.0,2526004.0095239994,1.7424348692612464e-09,78549,346.0,39.0,1.7424348692612464e-09,346.0,342.0
37587,Northwood Hills,Bank and Monument,8,1454,78549,26868.159113336817,7.282073658093465,11.271477912857982,10.19869718840796,78549.0,0.5925434464189843,4574108.0,2529112.2023752397,1.7424348692612464e-09,78549,346.0,38.0,1.7424348692612464e-09,346.0,338.0
23534,Hatton Cross,Bank and Monument,15,1357,78549,27575.42192626881,7.213031659834869,11.271477912857982,10.224680145047936,78549.0,0.5925434464189843,4611782.0,2549942.5156812794,1.7424348692612464e-09,78549,349.0,36.0,1.7424348692612464e-09,349.0,334.0
46116,South Harrow,Bank and Monument,7,1516,78549,25243.1020758514,7.323830566202317,11.271477912857982,10.13630821226686,78549.0,0.5925434464189843,4484901.0,2479787.6733108168,1.7424348692612464e-09,78549,339.0,46.0,1.7424348692612464e-09,339.0,332.0
53388,Upminster,Bank and Monument,10,727,78549,25950.84619965806,6.588926477533519,11.271477912857982,10.1639594969124,78549.0,0.5925434464189843,4524222.0,2501528.87137916,1.7424348692612464e-09,78549,342.0,43.0,1.7424348692612464e-09,342.0,332.0
24171,Heathrow Terminals 2 & 3,Bank and Monument,26,2199,78549,29988.172872059848,7.695757990554761,11.271477912857982,10.308558345314214,78549.0,0.5925434464189843,4735529.0,2618365.002166014,1.7424348692612464e-09,78549,358.0,27.0,1.7424348692612464e-09,358.0,332.0
